run,phase,iteration,case,latency_ms,status,route,compile_submissions,eager_fallback,max_abs_error
default-r1,serving,9,batch4_contiguous,0.069579,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,9,batch2_strided,0.068969,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,9,batch3_strided_late,0.066409,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,10,batch0_contiguous,0.057959,ok,compiled_cache,0,False,0.0
default-r1,serving,10,batch1_contiguous,0.06207,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,10,batch2_contiguous,0.062508,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,10,batch4_contiguous,0.06284,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,10,batch2_strided,0.086079,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,10,batch3_strided_late,0.073319,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,11,batch0_contiguous,0.049729,ok,compiled_cache,0,False,0.0
default-r1,serving,11,batch1_contiguous,0.061188,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,11,batch2_contiguous,0.075879,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,11,batch4_contiguous,0.065179,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,11,batch2_strided,0.06699,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,11,batch3_strided_late,0.073579,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,12,batch0_contiguous,0.092679,ok,compiled_cache,0,False,0.0
default-r1,serving,12,batch1_contiguous,0.06789,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,12,batch2_contiguous,0.064659,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,12,batch4_contiguous,0.06616,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,12,batch2_strided,0.069159,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,12,batch3_strided_late,0.069679,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,13,batch0_contiguous,0.055139,ok,compiled_cache,0,False,0.0
default-r1,serving,13,batch1_contiguous,0.074019,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,13,batch2_contiguous,0.065979,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,13,batch4_contiguous,0.063139,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,13,batch2_strided,0.070719,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,13,batch3_strided_late,0.07263,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,14,batch0_contiguous,0.04663,ok,compiled_cache,0,False,0.0
default-r1,serving,14,batch1_contiguous,0.06032,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,14,batch2_contiguous,0.06599,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,14,batch4_contiguous,0.065649,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,14,batch2_strided,0.066899,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,14,batch3_strided_late,0.066789,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,15,batch0_contiguous,0.050219,ok,compiled_cache,0,False,0.0
default-r1,serving,15,batch1_contiguous,0.063619,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,15,batch2_contiguous,0.063059,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,15,batch4_contiguous,0.061508,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,15,batch2_strided,0.067349,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,15,batch3_strided_late,0.068589,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,16,batch0_contiguous,0.046199,ok,compiled_cache,0,False,0.0
default-r1,serving,16,batch1_contiguous,0.058389,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,16,batch2_contiguous,0.064,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,16,batch4_contiguous,0.06357,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,16,batch2_strided,0.067048,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,16,batch3_strided_late,0.079889,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,17,batch0_contiguous,0.04941,ok,compiled_cache,0,False,0.0
default-r1,serving,17,batch1_contiguous,0.060759,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,17,batch2_contiguous,0.06196,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,17,batch4_contiguous,0.074099,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,17,batch2_strided,0.06946,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,17,batch3_strided_late,0.066979,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,18,batch0_contiguous,0.047539,ok,compiled_cache,0,False,0.0
default-r1,serving,18,batch1_contiguous,0.071229,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,18,batch2_contiguous,0.065599,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,18,batch4_contiguous,0.061528,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,18,batch2_strided,0.065269,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,18,batch3_strided_late,0.068199,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,19,batch0_contiguous,0.04872,ok,compiled_cache,0,False,0.0
default-r1,serving,19,batch1_contiguous,0.05968,ok,compiled_cache,0,False,1.4901161193847656e-08
default-r1,serving,19,batch2_contiguous,0.060059,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,19,batch4_contiguous,0.073769,ok,compiled_cache,0,False,5.960464477539063e-08
default-r1,serving,19,batch2_strided,0.07241,ok,compiled_cache,0,False,5.960464477539063e-08
